accuracy,nll,ece,brier,entropy,prob_variance,per_class_accuracy_mean,per_class_accuracy_min,eval_seconds,sample_count,method,dataset,seed,model_variant
0.9855,0.04452577605843544,0.0010578204631805134,0.02204855903983116,0.04210815578699112,0.0,0.985526426552186,0.9743326488706365,0.12352343089878559,1,deterministic,mnist,42,deterministic
0.9765,0.6493290066719055,0.023499999999999965,0.04699999839067459,0.0,0.0,0.9765747916432321,0.9435318275154004,0.18318829219788313,1,output_sample,mnist,42,deterministic
0.9838,0.21756255626678467,0.006920000864565324,0.02627200074493885,0.026585906744003296,0.00172480009496212,0.983794999833138,0.9671457905544147,0.5051280511543155,5,output_sample,mnist,42,deterministic
0.9849,0.11365849524736404,0.0026950161665678114,0.022843999788165092,0.03433802351355553,0.0019645998254418373,0.984872455367241,0.9722792607802875,2.1637342553585768,20,output_sample,mnist,42,deterministic
0.6883,2.8037426471710205,0.19364566528201105,0.5402709245681763,0.5391984581947327,0.0,0.6878277779173874,0.5184804928131417,0.11317973211407661,1,hidden_categorical,mnist,42,deterministic
0.8342,0.6412291526794434,0.20004250497519974,0.3134729862213135,0.9753060340881348,0.022108295932412148,0.8317431818302881,0.648870636550308,0.5067582339979708,5,hidden_categorical,mnist,42,deterministic
0.8978,0.5902544856071472,0.2789983381718398,0.26887625455856323,1.1256320476531982,0.02632022649049759,0.8956958212875488,0.7320328542094456,2.0014962097629905,20,hidden_categorical,mnist,42,deterministic
0.9712,0.08867169171571732,0.006011508992314346,0.043566375970840454,0.06763576716184616,0.0,0.9711276498122533,0.9342915811088296,0.10934439394623041,1,sap,mnist,42,deterministic
0.9832,0.06175152584910393,0.015919040739536323,0.028626950457692146,0.09784004837274551,0.001536644995212555,0.9831070235878778,0.973305954825462,0.5010886648669839,5,sap,mnist,42,deterministic
0.9856,0.05786438658833504,0.018748200753331154,0.0260087288916111,0.10655611753463745,0.0017664770130068064,0.9855873113426226,0.973305954825462,2.1436879271641374,20,sap,mnist,42,deterministic
0.9833,0.051111768931150436,0.002166482195258093,0.025512047111988068,0.04622771590948105,0.0,0.9832568915102362,0.9661190965092402,0.11102061485871673,1,gaussian,mnist,42,deterministic
0.9851,0.04713546484708786,0.00251692589223389,0.023159857839345932,0.05237966403365135,0.0002563094603829086,0.9850657429635422,0.9743326488706365,0.49637900898233056,5,gaussian,mnist,42,deterministic
0.9857,0.045100659132003784,0.0031471788644791003,0.022139819338917732,0.05372995510697365,0.00030286802211776376,0.9857415422642287,0.9743326488706365,1.9786725910380483,20,gaussian,mnist,42,deterministic
0.9875,0.0378066785633564,0.0012170076191425328,0.01889374852180481,0.039342161267995834,0.0,0.9873320208914503,0.9801670146137788,0.10491027031093836,1,dropout_eval,mnist,42,dropout
0.9838,0.051417551934719086,0.001713254460692407,0.024721326306462288,0.053011976182460785,0.0,0.983606356497243,0.9727626459143969,0.10475234081968665,1,mc_dropout,mnist,42,dropout
