dataset,model_variant,method,sample_count,n_seeds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,nll_mean,nll_std,nll_ci_low,nll_ci_high,ece_mean,ece_std,ece_ci_low,ece_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high,entropy_mean,entropy_std,entropy_ci_low,entropy_ci_high,prob_variance_mean,prob_variance_std,prob_variance_ci_low,prob_variance_ci_high,eval_seconds_mean,eval_seconds_std,eval_seconds_ci_low,eval_seconds_ci_high,per_class_accuracy_min_mean,per_class_accuracy_min_std,per_class_accuracy_min_ci_low,per_class_accuracy_min_ci_high
fashion_mnist,deterministic,deterministic,1,3,0.8876666666666666,0.0016165807537309022,0.8836508574522339,0.8916824758810993,0.30961304903030396,0.004791227043075653,0.2977109812470417,0.3215151168135662,0.01037545104523498,0.0022599628218071834,0.004761392172430064,0.015989509918039897,0.16033401091893515,0.0021092854644578717,0.15509425535182855,0.16557376648604175,0.28597137331962585,0.008379172599647551,0.26515635467157633,0.3067863919676754,0.0,0.0,0.0,0.0,0.10452073579654098,0.0003616782026745218,0.10362227733375912,0.10541919425932283,0.64,0.09462029380635,0.4049501598587498,0.8750498401412502
fashion_mnist,deterministic,gaussian,1,3,0.8789333333333333,0.0014047538337136544,0.8754437313592794,0.8824229353073872,0.33814486861228943,0.01350903674099893,0.3045865609945532,0.37170317623002563,0.01603373155196507,0.005236426585505309,0.003025726796099318,0.029041736307830822,0.17422391970952353,0.005709632095110778,0.1600404073018388,0.18840743211720826,0.2906918128331502,0.009508197897803328,0.26707213986443173,0.3143114858018687,0.0,0.0,0.0,0.0,0.10773009636128943,0.004037331809764261,0.09770080815780481,0.11775938456477404,0.63,0.09724710792614862,0.3884247918419998,0.8715752081580002
fashion_mnist,deterministic,gaussian,5,3,0.8866,0.0006557438524301871,0.8849710419669298,0.8882289580330703,0.314326544602712,0.005338433159518239,0.30106514146949426,0.3275879477359297,0.00450155085126558,0.0017464020136294086,0.00016324774933205218,0.008839853953199108,0.16308370729287466,0.0027189765631509123,0.15632939507498617,0.16983801951076316,0.31332539518674213,0.010084091220717954,0.28827512389662624,0.338375666476858,0.0011319356854073703,0.0002983013035533835,0.0003909141677861277,0.001872957203028613,0.5007742738040785,0.003267698800883732,0.49265685998216185,0.5088916876259951,0.6443333333333333,0.08784266237616735,0.4261200630241441,0.8625466036425224
fashion_mnist,deterministic,gaussian,20,3,0.8874999999999998,0.0016093476939431,0.8835021587021573,0.8914978412978424,0.3104047973950704,0.0043286875214632245,0.2996517414806205,0.32115785330952024,0.007994459189971277,0.001635479383017307,0.003931703177827823,0.01205721520211473,0.16106846928596497,0.0020866018981674068,0.15588506282131748,0.16625187575061245,0.31713664531707764,0.010461030415441377,0.29115000515831246,0.3431232854758428,0.0013476112314189475,0.0003539198427856927,0.0004684256030182602,0.002226796859819635,2.0347311454825103,0.08147442734071587,1.832337447982176,2.237124842982845,0.641,0.0926660671443436,0.41080472800714785,0.8711952719928522
fashion_mnist,deterministic,hidden_categorical,1,3,0.5006,0.07192767200459084,0.32192175745498747,0.6792782425450126,2.907339890797933,0.2771959169013253,2.2187470600801404,3.5959327215157257,0.2056962767586112,0.01778895697457629,0.1615060578853622,0.24988649563186022,0.7313864429791769,0.04401516304529838,0.6220467165695117,0.840726169388842,0.9296273390452067,0.25767226634484885,0.2895339449457922,1.5697207331446212,0.0,0.0,0.0,0.0,0.10678774785871308,0.00031769756448233254,0.10599854335785128,0.10757695235957487,0.19966666666666666,0.13497160195142285,-0.1356213797562173,0.5349547130895507
fashion_mnist,deterministic,hidden_categorical,5,3,0.6052000000000001,0.11446803047139407,0.3208456487162241,0.889554351283776,1.0935794313748677,0.19907438066778835,0.5990512549146738,1.5881076078350616,0.11707159790396689,0.055080999266251617,-0.019757189574221026,0.2539003853821548,0.5344130098819733,0.09774611181767141,0.2915982073387311,0.7772278124252154,1.3365162213643391,0.168810147383508,0.9171685681228356,1.7558638746058426,0.019189822177092235,0.00525524717733493,0.00613506447930506,0.032244579874879414,0.5065902263546983,0.0023847857058621946,0.5006660902483229,0.5125143624610737,0.22633333333333336,0.1850468409169239,-0.23334850262866133,0.686015169295328
fashion_mnist,deterministic,hidden_categorical,20,3,0.6630333333333334,0.13398605648847697,0.3301935175615977,0.995873149105069,1.0324050188064575,0.21581916516281588,0.4962804917070336,1.5685295459058815,0.20208005337069432,0.07190739991723377,0.023452169482381324,0.3807079372590073,0.4992305139700572,0.1095983908104144,0.22697301821075594,0.7714880097293584,1.4640943209330242,0.127261054323756,1.1479603366502744,1.780228305215774,0.02277957710127036,0.0062591327376388785,0.007231029424850537,0.03832812477769018,2.0573519193567336,0.08207309774358175,1.8534710421317313,2.261232796581736,0.21333333333333335,0.23639232926077217,-0.3738977665518518,0.8005644332185186
fashion_mnist,deterministic,output_sample,1,3,0.8428666666666667,0.0039551653989856606,0.8330414911428363,0.852691842190497,4.34175443649292,0.10928479431334842,4.070275957618253,4.613232915367587,0.15713333333333335,0.0039551653989856606,0.14730815780950302,0.16695850885716368,0.3142666717370351,0.007910330326981374,0.29461632185937836,0.33391702161469183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10618909572561581,0.0009236438461320912,0.10389463721521297,0.10848355423601866,0.5716666666666667,0.08268212221111246,0.3662728887944926,0.7770604445388407
fashion_mnist,deterministic,output_sample,5,3,0.8757666666666667,0.0036936883102575715,0.8665910362397045,0.8849422970936289,1.4727626244227092,0.03415212162710431,1.3879240511525355,1.557601197692883,0.03495334309637546,0.0030912991348099037,0.02727413033729301,0.04263255585545791,0.1892266720533371,0.003718383704143499,0.17998969486711636,0.19846364923955784,0.18715742230415344,0.008688322157020839,0.165574433582062,0.20874041102624488,0.01202933428188165,0.0005367235130024613,0.010696039162449118,0.013362629401314184,0.5061179936553041,0.001982232573397727,0.5011938549662669,0.5110421323443413,0.5943333333333334,0.09317903913076878,0.36286376828393097,0.8258028983827358
fashion_mnist,deterministic,output_sample,20,3,0.8853333333333334,0.0012897028081435217,0.8821295339506738,0.888537132715993,0.7337948679924011,0.030682507290790424,0.6575752945402942,0.8100144414445081,0.01471830691695214,0.004762415439235681,0.0028878111253247737,0.026548802708579504,0.1674015074968338,0.0015198345486223254,0.16362602917898003,0.17117698581468757,0.24865029752254486,0.009612903085544007,0.2247705224483439,0.27253007259674583,0.014295182190835476,0.0005371104918377915,0.01296092576268445,0.0156294386189865,2.1100226348886886,0.09757697373855988,1.8676279946262604,2.352417275151117,0.626,0.09057041459549578,0.40101061753446643,0.8509893824655336
